Name,Sweep (T1),,,
Date,12/18/2024,,,
Time,13:48:53,,,
LATITUDE,-7,2,27.345,,
LONGITUDE,-38,16,6.734,,
ALTITUDE,392.5,,
Instrument,FPH - 103490/026,,,
Firmware Version,V2.40,,,
Country of Origin,Malaysia,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,825000000,Hz,,
Frequency Offset,0,Hz,,
Span,1550000000,Hz,,
Ref Level,-20,dBm,,
Ref Offset,0,dB,,
Ref Position,1.00 ,,,
Range,100,dB,,
RF Attenuation,Auto Low Distortion,,,
RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,
RF Input,50 Ω,,,
RBW,3000000,Hz,,
VBW,30000,Hz,,
SWT,0.043,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Clear / Write,,,
Trace Math,Off,,,
Trace Detector,Auto Peak,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,
Marker 1,416760563.4,Hz,,
Marker 1 Value,-74.17,dBm,,

Frequency [Hz],Maximum [dBm],Minimum [dBm],,
50000000,-80.4741973876953,-84.5011444091797,,
52183098.5915493,-80.4982528686523,-84.1376113891602,,
54366197.1830986,-80.5767974853516,-84.2553939819336,,
56549295.7746479,-80.6260147094727,-83.7530136108398,,
58732394.3661972,-79.9245300292969,-84.7880172729492,,
60915492.9577465,-80.2075805664063,-83.8703231811523,,
63098591.5492958,-81.4587783813477,-83.9825820922852,,
65281690.1408451,-80.7530822753906,-83.8505401611328,,
67464788.7323944,-80.2962112426758,-83.7293319702148,,
69647887.3239437,-81.8971176147461,-85.4279022216797,,
71830985.915493,-80.5707550048828,-84.0419692993164,,
74014084.5070423,-80.8125915527344,-84.5435333251953,,
76197183.0985916,-80.1025619506836,-84.3494644165039,,
78380281.6901408,-80.6238708496094,-85.5083694458008,,
80563380.2816902,-80.3025360107422,-85.0834350585938,,
82746478.8732394,-80.9121398925781,-84.057487487793,,
84929577.4647887,-80.7050018310547,-84.1104431152344,,
87112676.056338,-81.1761245727539,-84.0954742431641,,
89295774.6478873,-81.7096176147461,-84.6569442749023,,
91478873.2394366,-80.6698913574219,-84.9544448852539,,
93661971.8309859,-80.5941619873047,-85.0094375610352,,
95845070.4225352,-81.5685653686523,-84.7779846191406,,
98028169.0140845,-81.1470718383789,-85.0952224731445,,
100211267.605634,-80.6586456298828,-85.1035690307617,,
102394366.197183,-80.7640914916992,-84.2641448974609,,
104577464.788732,-80.7716751098633,-84.4150619506836,,
106760563.380282,-81.0373611450195,-84.2190780639648,,
108943661.971831,-81.8578872680664,-85.3505020141602,,
111126760.56338,-81.4945526123047,-85.3261642456055,,
113309859.15493,-81.479377746582,-84.4035339355469,,
115492957.746479,-81.5717315673828,-84.5038452148438,,
117676056.338028,-80.9935913085938,-84.4153213500977,,
119859154.929577,-81.2131958007813,-84.1212692260742,,
122042253.521127,-81.4560165405273,-85.349235534668,,
124225352.112676,-80.5948867797852,-84.7392425537109,,
126408450.704225,-80.9603424072266,-84.2493896484375,,
128591549.295775,-81.6808776855469,-85.1072311401367,,
130774647.887324,-80.5672073364258,-85.2540435791016,,
132957746.478873,-80.9242477416992,-85.1471099853516,,
135140845.070423,-80.5824813842773,-85.3142242431641,,
137323943.661972,-81.9634017944336,-84.6361236572266,,
139507042.253521,-81.7219085693359,-84.5148162841797,,
141690140.84507,-80.5139541625977,-84.963623046875,,
143873239.43662,-81.1430435180664,-84.5539703369141,,
146056338.028169,-81.7321395874023,-85.1217880249023,,
148239436.619718,-82.0446166992188,-85.4284286499023,,
150422535.211268,-81.6061630249023,-85.0070266723633,,
152605633.802817,-81.2411422729492,-83.658073425293,,
154788732.394366,-81.0182800292969,-84.3423538208008,,
156971830.985915,-81.9962463378906,-84.3877639770508,,
159154929.577465,-81.0313034057617,-85.0094604492188,,
161338028.169014,-80.8372039794922,-85.3522109985352,,
163521126.760563,-79.9859008789063,-85.0131530761719,,
165704225.352113,-81.0121917724609,-83.4912796020508,,
167887323.943662,-81.0665435791016,-84.980827331543,,
170070422.535211,-81.2590179443359,-84.9066390991211,,
172253521.126761,-81.5897598266602,-85.1343078613281,,
174436619.71831,-81.1158828735352,-84.7291259765625,,
176619718.309859,-81.4962615966797,-85.772575378418,,
178802816.901408,-79.7893295288086,-84.583122253418,,
180985915.492958,-80.767333984375,-84.0500411987305,,
183169014.084507,-81.3087615966797,-84.7324371337891,,
185352112.676056,-81.0307006835938,-84.5075912475586,,
187535211.267606,-81.0660705566406,-85.0824584960938,,
189718309.859155,-81.0609359741211,-84.7374649047852,,
191901408.450704,-81.1301422119141,-85.3203964233398,,
194084507.042254,-81.5972671508789,-85.0551147460938,,
196267605.633803,-81.4081344604492,-85.2374801635742,,
198450704.225352,-80.7755279541016,-83.6896057128906,,
200633802.816901,-80.7339172363281,-84.1432418823242,,
202816901.408451,-80.8656311035156,-84.6650466918945,,
205000000,-80.8594818115234,-84.6439743041992,,
207183098.591549,-81.1143569946289,-84.5970230102539,,
209366197.183099,-80.8303833007813,-83.9056091308594,,
211549295.774648,-80.6459579467773,-84.8982543945313,,
213732394.366197,-81.4380722045898,-84.4094314575195,,
215915492.957747,-81.4000091552734,-85.2682418823242,,
